"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
72,28,1,0.96055123886447,0.0394483995601196,3.61575410873719e-07,2
70,37,1,0.630921981014494,0.369034606678663,4.34123068435121e-05,3
88,56,2,0.0198382802194848,0.897910025612781,0.082251694167734,1
66,60,2,0.00188735552778328,0.919717295755495,0.0783953487167216,3
91,49,2,0.157326439860831,0.831311674042362,0.0113618860968068,2
75,56,2,0.0100355818823817,0.948621564124792,0.0413428539928265,1
76,42,2,0.368818263802742,0.630721886693009,0.000459849504249094,2
92,35,1,0.912727459931025,0.0872525904207833,1.99496481918046e-05,2
70,52,2,0.0238488065634131,0.966474012677178,0.00967718075940895,3
80,41,2,0.492974223260365,0.506680547580842,0.000345229158792935,2
66,28,1,0.94545410005079,0.0545455451077402,3.54841469525374e-07,3
104,26,1,0.996205099030836,0.00379478126072913,1.19708434609213e-07,2
88,44,2,0.395440201729502,0.602981439770725,0.00157835849977286,2
97,61,2,0.00532226762533414,0.594229985529421,0.400447746845245,1
73,50,2,0.0486406100520626,0.945148257856734,0.00621113209120372,3
80,37,1,0.750739044628263,0.249209043471134,5.19119006024037e-05,2
71,21,1,0.994022144613241,0.00597784888207826,6.50468107280696e-09,2
82,52,2,0.0455713780635652,0.935827324870893,0.0186012970655414,1
71,39,1,0.506904319812991,0.492984627278779,0.00011105290823031,3
99,26,1,0.994968863583195,0.00503101715122595,1.19265579120141e-07,2
73,42,2,0.33023611996172,0.669352743892383,0.000411136145897234,3
63,40,2,0.330024473557677,0.669847052855985,0.000128473586337964,3
74,46,2,0.144035302862645,0.854147720086709,0.00181697705064642,3
86,56,2,0.0179104992154533,0.907903770117157,0.0741857306673898,1
86,23,1,0.995496158223273,0.00450382089178435,2.08849424800778e-08,2
84,57,2,0.0119488128670571,0.899847724224562,0.088203462908381,1
87,52,2,0.0592439450645795,0.916514225140048,0.0242418297953725,1
77,43,2,0.317887151833668,0.681405445513856,0.000707402652475826,2
79,27,1,0.979599474444889,0.0204003181358571,2.07419253369378e-07,2
102,59,2,0.0137928271769988,0.659303248449269,0.326903924373732,1
92,85,3,1.23279121868237e-08,0.00160978196186732,0.99839020571022,1
69,65,2,0.000409633836359897,0.691728226587915,0.307862139575725,1
86,41,1,0.577251640988577,0.422342913154282,0.000405445857141797,2
90,71,3,3.6662932396297e-05,0.102656100591106,0.897307236476497,1
86,59,2,0.0070010887587079,0.828369558628045,0.164629352613247,1
70,67,2,0.000192246823549674,0.539777523089989,0.460030230086461,1
68,47,2,0.082829726919991,0.915311789954573,0.00185848312543654,3
87,30,1,0.970028869443329,0.0299699599075089,1.17064916201518e-06,2
89,32,1,0.953701934666809,0.046294398969251,3.66636394024252e-06,2
77,43,2,0.317887151833668,0.681405445513856,0.000707402652475826,2
89,24,1,0.994962035981856,0.00503792672587953,3.7292264376888e-08,2
66,56,2,0.00615433308872608,0.968604336365427,0.0252413305458475,3
81,65,2,0.000620074473987753,0.530595495676647,0.468784429849366,1
90,30,1,0.974593767102472,0.0254050549988219,1.17789870586685e-06,2
75,28,1,0.966510015746037,0.0334896198971225,3.64356840085241e-07,2
67,62,2,0.00105988594601618,0.858767733007917,0.140172381046066,3
85,34,1,0.903220508069872,0.0967684635157168,1.10284144115543e-05,2
62,49,2,0.0352276740190991,0.962264342940078,0.00250798304082318,3
67,55,2,0.00866453884872855,0.971405133492144,0.0199303276591275,3
73,39,1,0.53516351055196,0.464719129858469,0.000117359589570395,3
65,46,2,0.0918590962299565,0.90698724861352,0.00115365515652377,3
73,60,2,0.00269930565642476,0.884791724565343,0.112508969778233,1
92,56,2,0.0242489414267794,0.875013851885692,0.100737206687529,1
77,42,2,0.382090329440841,0.617433038312175,0.000476632246983716,2
82,38,1,0.71772392680033,0.282187451550416,8.86216492541189e-05,2
