"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
87,38,1,0.771417533293748,0.228486980141512,9.54865647402517e-05,2
71,43,2,0.249162837190131,0.750284331611601,0.000552831198267754,3
88,42,1,0.535381221398492,0.463947295168206,0.000671483433302688,2
82,32,1,0.932688811668349,0.0673076151000021,3.57323164854435e-06,2
90,34,1,0.925306437023055,0.0746822370115371,1.13259654081639e-05,2
74,48,2,0.0871468387567529,0.909354637740747,0.00349852350250057,3
68,49,2,0.0487422827688736,0.947777303097197,0.00348041413392966,3
79,44,2,0.282260232968156,0.716618141513293,0.00112162551855123,2
73,30,1,0.936078811993327,0.0639200660980003,1.12190867286978e-06,2
84,48,2,0.143630754118646,0.850574674472007,0.00579457140934732,1
73,44,2,0.218793958636416,0.780339181131857,0.000866860231727691,3
89,76,3,2.20201297196921e-06,0.0267992804680293,0.973198517518999,1
83,44,2,0.330242358060098,0.668442758515124,0.00131488342477761,2
64,72,3,1.68618481369777e-05,0.273158558950947,0.726824579200916,3
73,71,3,3.16395251504871e-05,0.232068295677218,0.767900064797631,1
90,60,2,0.00594667397391026,0.744106033326499,0.249947292699591,1
76,48,2,0.0965508886907513,0.89956923770505,0.00387987360419844,3
55,42,2,0.15105165044578,0.848761954980404,0.000186394573815842,3
84,68,3,0.000167098400600098,0.28158753408748,0.71824536751192,1
95,38,1,0.841478478130366,0.158416951569877,0.000104570299756698,2
78,39,1,0.604449642265014,0.395417476831223,0.000132880903763913,2
83,69,3,9.96930950558474e-05,0.235839573740059,0.764060733164885,1
87,51,2,0.0775690829465921,0.904638549112183,0.0177923679412246,1
82,53,2,0.0345202653724623,0.940343424520552,0.0251363101069856,1
95,46,2,0.354918772741587,0.640557410802484,0.00452381645592881,2
80,39,1,0.631182810423955,0.368678294850077,0.000138894725968225,2
76,29,1,0.958375095598117,0.0416242595700148,6.44831868554913e-07,2
77,44,2,0.259916290985509,0.739051889962158,0.00103181905233369,2
80,60,2,0.00379782067620454,0.837359193472117,0.158842985851678,1
82,29,1,0.970009313963788,0.0299900314432824,6.54592929301361e-07,2
90,90,3,6.83844366577834e-10,0.000410754336866944,0.999589244979289,1
72,67,2,0.000203945820717226,0.511289772149651,0.488506282029631,1
88,40,1,0.66984920027521,0.329886804211958,0.000263995512831432,2
99,49,2,0.225681114206632,0.757956127703488,0.0163627580898794,2
71,48,2,0.0745838947881158,0.922426347461039,0.00298975775084533,3
89,71,3,3.64609070432719e-05,0.108040528033738,0.891923011059219,1
84,49,2,0.112013825202744,0.87992456376224,0.00806161103501579,1
97,29,1,0.986953468469647,0.0130458605602588,6.70970094641398e-07,2
93,57,2,0.0186411088217037,0.843142589967623,0.138216301210673,1
74,48,2,0.0871468387567529,0.909354637740747,0.00349852350250057,3
85,25,1,0.991645495775948,0.00835443804984679,6.61742050564857e-08,2
89,32,1,0.953701934666809,0.046294398969251,3.66636394024252e-06,2
69,54,2,0.0128608753147515,0.970539765436575,0.016599359248673,3
81,32,1,0.929044298681725,0.0709521438031492,3.55751512590376e-06,2
89,43,2,0.478825000349475,0.520103136375718,0.00107186327480637,2
89,21,1,0.997835392575804,0.00216460083636941,6.58782644306613e-09,2
61,41,2,0.248999587288768,0.750827664118993,0.000172748592239563,3
94,24,1,0.996199963089031,0.00379999948016768,3.74308014371224e-08,2
77,62,2,0.00168424278340565,0.774470069262272,0.223845687954322,1
103,71,3,3.85006960305034e-05,0.0516183968939537,0.948343102410016,1
82,37,1,0.771328414057749,0.228618197727286,5.3388214964915e-05,2
61,36,1,0.576631419412208,0.423346437788341,2.21427994507041e-05,3
84,77,3,1.23776063585126e-06,0.02652510150742,0.973473660731944,1
96,32,1,0.968377222655511,0.0316190416962119,3.73564827752037e-06,2
74,21,1,0.994951685150396,0.00504830832920547,6.52039876114756e-09,2
81,36,1,0.808732763922185,0.191235872853581,3.13632242337924e-05,2
74,37,1,0.681946944870895,0.318006039301853,4.70158272523648e-05,2
96,33,1,0.958479298834724,0.0415141051677488,6.59599752672974e-06,2
89,54,2,0.0375809144183958,0.913433356016379,0.0489857295652252,1
84,65,3,0.000675632528671562,0.487781431213462,0.511542936257866,1
72,57,2,0.00637130223865341,0.946874542011299,0.0467541557500481,3
70,21,1,0.993675943248326,0.00632405025246284,6.49921122553893e-09,2
80,24,1,0.991639809199954,0.00836015379682378,3.70032226641533e-08,2
73,66,2,0.000319468496130235,0.570518671220948,0.429161860282921,1
72,37,1,0.656887584977306,0.34306717150087,4.52435218235619e-05,3
74,51,2,0.0390868877420467,0.952004844775056,0.0089082674828974,3
95,42,1,0.631250048644152,0.367955491243942,0.000794460111905776,2
85,62,2,0.00234355279488959,0.684953945558621,0.31270250164649,1
95,54,2,0.0509957869081789,0.882335669562284,0.0666685435295375,1
85,54,2,0.0304989531254148,0.929824772792641,0.0396762740819443,1
72,59,2,0.00349822545134446,0.91480733960914,0.0816944349395153,1
73,45,2,0.17427338392296,0.824494870104879,0.00123174597216051,3
74,54,2,0.0169077722526292,0.96121574260566,0.0218764851417105,1
100,24,1,0.997291958126717,0.0027080042904642,3.75828191381302e-08,2
62,42,2,0.209167220598502,0.790573779308293,0.000259000093205419,3
82,43,2,0.382109407762443,0.617038175832333,0.000852416405223572,2
59,31,1,0.833195287613419,0.166802943209847,1.76917673441209e-06,3
78,71,3,3.34932707169499e-05,0.185069603664648,0.814896903064635,1
86,55,2,0.0240755389371152,0.920024388444726,0.0559000726181589,1
76,62,2,0.00161167265359159,0.784293190452581,0.214095136893827,1
